DATE (MM/DD/YYYY),HOUR-MST,Avg Temperature @ 2m [deg C]
1/17/2008,19,-6.0250
1/17/2008,20,-5.2601
1/17/2008,21,-5.2540
1/17/2008,22,-5.4181
1/17/2008,23,-5.2785
1/18/2008,0,-5.4692
1/18/2008,1,-5.6204
1/18/2008,2,-5.2894
1/18/2008,3,-5.0935
1/18/2008,4,-5.4368
1/18/2008,5,-5.6622
1/18/2008,6,-6.0638
1/18/2008,7,-6.3243
1/18/2008,8,-6.3840
1/18/2008,9,-5.5641
1/18/2008,10,-5.1996
1/18/2008,11,-5.0775
1/18/2008,12,-3.8910
1/18/2008,13,-3.1344
1/18/2008,14,-4.4752
1/18/2008,15,-7.6943
1/18/2008,16,-8.2616
1/18/2008,17,-8.1894
1/18/2008,18,-8.1755
1/18/2008,19,-7.8326
1/18/2008,20,-8.3485
1/18/2008,21,-9.4392
1/18/2008,22,-10.6498
1/18/2008,23,-11.6084
1/19/2008,0,-13.5938
1/19/2008,1,-13.4578
1/19/2008,2,-13.1283
1/19/2008,3,-10.5699
1/19/2008,4,-8.1826
1/19/2008,5,-6.6911
1/19/2008,6,-5.7229
1/19/2008,7,-4.9872
1/19/2008,8,-4.4156
1/19/2008,9,-3.7868
1/19/2008,10,-2.5856
1/19/2008,11,-1.6116
1/19/2008,12,-1.0413
1/19/2008,13,0.0128
1/19/2008,14,1.8405
1/19/2008,15,1.5895
1/19/2008,16,-0.8782
1/19/2008,17,-2.1673
1/19/2008,18,-4.9830
1/19/2008,19,-1.5259
1/19/2008,20,-1.8689
1/19/2008,21,1.2365
1/19/2008,22,1.6048
1/19/2008,23,1.6554
1/20/2008,0,1.2143
1/20/2008,1,0.7299
1/20/2008,2,1.4420
1/20/2008,3,1.5684
1/20/2008,4,1.3751
1/20/2008,5,0.5969
1/20/2008,6,-0.5548
1/20/2008,7,-1.6589
1/20/2008,8,-2.4277
1/20/2008,9,-1.6104
1/20/2008,10,2.6888
1/20/2008,11,0.7741
1/20/2008,12,0.3763
1/20/2008,13,1.3161
1/20/2008,14,1.6954
1/20/2008,15,0.9660
1/20/2008,16,-0.9983
1/20/2008,17,-4.8049
1/20/2008,18,-8.1673
1/20/2008,19,-10.1566
1/20/2008,20,-10.6541
1/20/2008,21,-11.4038
1/20/2008,22,-11.6699
1/20/2008,23,-12.0007
1/21/2008,0,-12.2871
1/21/2008,1,-12.4421
1/21/2008,2,-12.5261
1/21/2008,3,-12.7315
